snapshot_id,snapshot_datetime_sgt,exercise,ballot_group_id,town,projects_in_group,flat_type,applicant_group,units_offered,applicants,application_rate,value_type,source_name,source_url,note
SNAP_D2,2026-02-05T08:00,2026-02_BTO,TAMPINES|2-room Flexi,Tampines,Tampines Nova,2-room Flexi,first_timer_single,122,,50.0,reported_approx,AsiaOne / HDB Flat Portal,https://www.asiaone.com/singapore/bto-feb-2026-application-rates-tampines-nova,Reported as about 50 applications per unit
SNAP_D8,2026-02-11T14:00,2026-02_BTO,BUKIT_MERAH|3-room,Bukit Merah,Redhill Peaks,3-room,second_timer_family,91,216,17.7,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,BUKIT_MERAH|4-room,Bukit Merah,Redhill Peaks,4-room,first_timer_family,593,1960,2.0,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,BUKIT_MERAH|4-room,Bukit Merah,Redhill Peaks,4-room,second_timer_family,593,1960,15.2,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|3-room,Sembawang,Sembawang Deck,3-room,first_timer_family,84,218,1.3,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,Only Sembawang Deck offers 3-room units
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|3-room,Sembawang,Sembawang Deck,3-room,second_timer_family,84,218,8.1,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|4-room,Sembawang,Sembawang Voyage;Sembawang Deck,4-room,first_timer_family,725,626,0.6,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|4-room,Sembawang,Sembawang Voyage;Sembawang Deck,4-room,second_timer_family,725,626,3.3,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|5-room,Sembawang,Sembawang Voyage;Sembawang Deck,5-room,first_timer_family,662,418,0.4,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,Undersubscribed by first-timer families
SNAP_D8,2026-02-11T14:00,2026-02_BTO,SEMBAWANG|5-room,Sembawang,Sembawang Voyage;Sembawang Deck,5-room,second_timer_family,662,418,3.0,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TAMPINES|3-room,Tampines,Tampines Bliss,3-room,first_timer_family,80,522,3.4,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,Only Tampines Bliss offers 3-room units
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TAMPINES|3-room,Tampines,Tampines Bliss,3-room,second_timer_family,80,522,19.1,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TAMPINES|4-room,Tampines,Tampines Bliss;Tampines Nova,4-room,first_timer_family,337,3223,6.8,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,Highest FT-family rate in the exercise
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TAMPINES|4-room,Tampines,Tampines Bliss;Tampines Nova,4-room,second_timer_family,337,3223,35.3,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TAMPINES|2-room Flexi,Tampines,Tampines Nova,2-room Flexi,first_timer_single,122,2452,110.4,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,Up from 43.9 for Simei Symphony (Jul 2025)
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TOA_PAYOH|3-room,Toa Payoh,Kim Keat Crest,3-room,first_timer_family,87,149,0.6,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TOA_PAYOH|3-room,Toa Payoh,Kim Keat Crest,3-room,second_timer_family,87,149,12.9,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TOA_PAYOH|4-room,Toa Payoh,Kim Keat Crest,4-room,first_timer_family,787,938,0.8,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T14:00,2026-02_BTO,TOA_PAYOH|4-room,Toa Payoh,Kim Keat Crest,4-room,second_timer_family,787,938,5.1,reported,"Stacked Homes, citing HDB",https://stackedhomes.com/february-2026-bto-application-rates-mixed-response/,
SNAP_D8,2026-02-11T17:00,2026-02_BTO,EXERCISE|ALL,All,All six projects,All flat types,all_groups,4692,14052,3.0,reported,AsiaOne / MND Minister Chee Hong Tat,https://www.asiaone.com/singapore/2026-february-bto-sales-exercise-application-rates,Whole-exercise figure quoted by the Minister for National Development
